APP_NAME,PRIORITY,CATEGORY,POLICY,ISSUE_TITLE,SEVERITY,DATE_FOUND,#_OCCURRENCES,#_ISSUES
"OX-Security-Demo/Bank-Website-Backend",69,"Open Source Security","Vulnerable dependency (CVE) in code","cryptography@3.1.1 is a Python direct dependency having 8 direct vulnerabilities and no indirect vulnerabilities. CVE-2020-36242 (CVSS:9.1_ Incorrect Calculation) is the most severe vulnerability.","High",12/5/2023,8,1
"OX-Security-Demo/Bank-Website-Backend",69,"Open Source Security","Vulnerable dependency (CVE) in code","starkbank-ecdsa@2.0.0 is a Python direct dependency having 2 direct vulnerabilities and no indirect vulnerabilities. CVE-2021-43572 (CVSS:9.8_ Improper Verification of Cryptographic Signature) is the most severe vulnerability.","High",12/5/2023,2,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","Secret in code","Active AWS Secret Key was found in the code of a private repository","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","Secret in code","Fastly API key was found in the code of a private repository","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Code Security","SAST issue","Data leak possible due to usage of Telnet-related functions","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Code Security","SAST issue","Data leak possible by using insecure FTP protocol","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Code Security","SAST issue","Data leak possible by using insecure Telnet protocol","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Code Security","SAST issue","Data leak possible by using insecure FTP protocol","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"SBOM","Dependency Confusion: Private package in code","The internal package private-pytorch-pkg is open to dependency confusion attacks through the PyPI public registry","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","PII logging in code","Credit card information is leaked via logging in code","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","Secret logging in code","Generic password is leaked via logging in code","High",12/5/2023,1,1
"OX-Security-Demo/Investment-management",67,"Secret/PII Scan","Secret in code","Generic Password was found in the code of a public repository","High",12/5/2023,1,1
"OX-Security-Demo/Investment-management",67,"Git Posture","Security Policy file missing in repo","Security Policy missing from public repo","High",12/5/2023,1,1
"OX-Security-Demo/BankForensicsCollector",62,"Code Security","SAST issue","Banned C functions due to security used","High",12/5/2023,7,1
"OX-Security-Demo/BankForensicsCollector",62,"Git Posture","Security Policy file missing in repo","Security Policy missing from public repo","High",12/5/2023,1,1
"OX-Security-Demo/Lines-Credits",60,"Open Source Security","Vulnerable dependency (CVE) in code","spring-boot-starter-log4j2@2.6.1 is a Java direct dependency having 4 indirect vulnerabilities and no direct vulnerabilities. CVE-2021-44228 (CVSS:10_ Improper Input Validation) is the most severe vulnerability.","High",12/5/2023,4,1
"OX-Security-Demo/Lines-Credits",60,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","openjdk@8u181-jdk-alpine is a base image defined in Dockerfile having 310 vulnerabilities. Top risk: CVE-2019-12900 (CVSS:9.8_ Buffer Overflow)","High",12/5/2023,310,1
"OX-Security-Demo/Liquidity-management",37,"Open Source Security","Vulnerable dependency (CVE) in code","spring-web@5.3.19 is a Java direct dependency having 1 direct and 7 indirect vulnerabilities. CVE-2016-1000027 (CVSS:9.8_ Deserialization of Untrusted Data) is the most severe vulnerability.","High",12/5/2023,8,1
"OX-Security-Demo/Liquidity-management",37,"Open Source Security","Vulnerable dependency (CVE) in code","jetty-server@9.3.20.v20170531 is a Java direct dependency having 12 direct and 2 indirect vulnerabilities. CVE-2017-7657 (CVSS:9.8_ Incorrect Calculation) is the most severe vulnerability.","High",12/5/2023,14,1
"OX-Security-Demo/Liquidity-management",37,"Open Source Security","Vulnerable dependency (CVE) in code","spring-boot-starter-web@2.6.1 is a Java direct dependency having 1 direct and 16 indirect vulnerabilities. CVE-2022-22965 (CVSS:9.8_ Code Injection) is the most severe vulnerability.","High",12/5/2023,17,1
"OX-Security-Demo/Liquidity-management",37,"Open Source Security","Vulnerable dependency (CVE) in code","log4j-core@2.13.3 is a Java direct dependency having 4 direct vulnerabilities and no indirect vulnerabilities. CVE-2021-44228 (CVSS:10_ Improper Input Validation) is the most severe vulnerability.","High",12/5/2023,4,1
"OX-Security-Demo/Liquidity-management",37,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","openjdk@8 is a base image defined in Dockerfile having 402 vulnerabilities. Top risk: CVE-2019-8457 (CVSS:9.8_ Buffer Overflow)","High",12/5/2023,402,1
"OX-Security-Demo/Currency-Credits",35,"Open Source Security","Vulnerable dependency (CVE) in code","spring-web@5.3.19 is a Java direct dependency having 1 direct and 8 indirect vulnerabilities. CVE-2016-1000027 (CVSS:9.8_ Deserialization of Untrusted Data) is the most severe vulnerability.","High",12/5/2023,9,1
"OX-Security-Demo/Currency-Credits",35,"Open Source Security","Vulnerable dependency (CVE) in code","jetty-server@9.3.20.v20170531 is a Java direct dependency having 12 direct and 2 indirect vulnerabilities. CVE-2017-7657 (CVSS:9.8_ Incorrect Calculation) is the most severe vulnerability.","High",12/5/2023,14,1
"OX-Security-Demo/Currency-Credits",35,"Open Source Security","Vulnerable dependency (CVE) in code","spring-boot-starter-web@2.2.5.RELEASE is a Java direct dependency having 1 direct and 18 indirect vulnerabilities. CVE-2022-22965 (CVSS:9.8_ Code Injection) is the most severe vulnerability.","High",12/5/2023,19,1
"OX-Security-Demo/Currency-Credits",35,"Open Source Security","Vulnerable dependency (CVE) in code","log4j-core@2.13.3 is a Java direct dependency having 4 direct vulnerabilities and no indirect vulnerabilities. CVE-2021-44228 (CVSS:10_ Improper Input Validation) is the most severe vulnerability.","High",12/5/2023,4,1
"michaelhorty/juiceshop_clone",14,"Secret/PII Scan","Secret in code","Generic Secret was found in the code of a public repository","High",12/5/2023,1,1
"MH-New-Organization/MH_NO_WEBG",12,"Secret/PII Scan","Secret in code","PGP Private Key was found in the code of a public repository","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s pod requires a NetworkPolicy to define allowed communication with other pods","Medium",12/5/2023,3,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s container should not share the host network namespace","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s container should not explicitly allow elevation of privileges","Medium",12/5/2023,3,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s root container usage is not minimized","Medium",12/5/2023,3,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s Kubelet nodes should read only associated objects","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server audit logs is not enabled","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","AWS EC2 instance detailed monitoring is disabled","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","AWS VPC subnets should not allow automatic public IP assignment","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in code","jackson-mapper-asl@1.9.13 is a Java direct dependency having 2 direct vulnerabilities and no indirect vulnerabilities. CVE-2019-10202 (CVSS:9.8_ Deserialization of Untrusted Data) is the most severe vulnerability.","Medium",12/5/2023,2,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in code","postgresql@42.2.5 is a Java direct dependency having 6 direct vulnerabilities and no indirect vulnerabilities. CVE-2022-21724 (CVSS:9.8_ Improper Initialization) is the most severe vulnerability.","Medium",12/5/2023,6,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in code","jsoup@1.8.3 is a Java direct dependency having 2 direct vulnerabilities and no indirect vulnerabilities. CVE-2021-37714 (CVSS:7.5_ Improper Error Management) is the most severe vulnerability.","Medium",12/5/2023,2,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in code","commons-text@1.9 is a Java direct dependency having 1 indirect vulnerability and no direct vulnerabilities. CVE-2022-42889 (CVSS:9.8_ Code Injection) is the most severe vulnerability.","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Secret/PII Scan","Secret in code","Generic Secret was found in the code of a private repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Code Security","SAST issue","Usage of Weak Random Number Generators","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Code Security","SAST issue","MD5 hash algorithm used is considered insecure","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Code Security","SAST issue","SQL Injection (SQLI) vulnerability in format string query","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Secret/PII Scan","PII embedded in code","Email Address is exposed in code","Medium",12/5/2023,3,1
"OX-Security-Demo/Multi-currency-management",97,"SBOM","Unused direct dependency in code","Dependency not used in code: (16 dependencies)","Medium",12/5/2023,16,1
"OX-Security-Demo/Multi-currency-management",97,"Infrastructure as Code Scan","IaC issue","AWS Lambda environment variables are not encrypted","Medium",12/5/2023,2,1
"OX-Security-Demo/Multi-currency-management",97,"Secret/PII Scan","Secret in Git history","RSA Private Key was found in the history of a public repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Secret/PII Scan","Secret in Git history","Private Key was found in the history of a public repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Secret/PII Scan","Secret in code","AWS Access Key was found in the code of a public repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","node@16-alpine is a base image defined in Dockerfile having 5 vulnerabilities. Top risk: CVE-2023-5363 (CVSS:7.5)","Medium",12/5/2023,5,1
"*GitHub-Settings (OX-Security-Demo)",97,"Git Posture","Too many org owners","Too many owners for org OX-Security-Demo: 6 owners (35% of all users)","Medium",12/5/2023,6,1
"OX-Security-Demo/Backend-Server",71,"Open Source Security","Vulnerable dependency (CVE) in code","analytics@2.1.1 is a Java direct dependency having 3 indirect vulnerabilities and no direct vulnerabilities. CVE-2018-1000844 (CVSS:9.1_ Information Exposure) is the most severe vulnerability.","Medium",12/5/2023,3,1
"OX-Security-Demo/Backend-Server",71,"Open Source Security","Vulnerable dependency (CVE) in code","hasher_2.13@1.2.2 is a Java direct dependency having 1 indirect vulnerability and no direct vulnerabilities. CVE-2022-36944 (CVSS:9.8_ Deserialization of Untrusted Data) is the most severe vulnerability.","Medium",12/5/2023,1,1
"OX-Security-Demo/Backend-Server",71,"Open Source Security","Vulnerable dependency (CVE) in code","influxdb-java@2.14 is a Java direct dependency having 3 indirect vulnerabilities and no direct vulnerabilities. CVE-2018-1000844 (CVSS:9.1_ Information Exposure) is the most severe vulnerability.","Medium",12/5/2023,3,1
"OX-Security-Demo/Backend-Server",71,"Open Source Security","Vulnerable dependency (CVE) in code","scopt_2.13@3.7.1 is a Java direct dependency having 1 indirect vulnerability and no direct vulnerabilities. CVE-2022-36944 (CVSS:9.8_ Deserialization of Untrusted Data) is the most severe vulnerability.","Medium",12/5/2023,1,1
"OX-Security-Demo/Backend-Server",71,"Code Security","SAST issue","SQL Injection vulnerability due to tainted user input","Medium",12/5/2023,2,1
"michaelhorty/WebGoat",71,"Infrastructure as Code Scan","IaC issue","K8s pod requires a NetworkPolicy to define allowed communication with other pods","Medium",12/5/2023,1,1
"michaelhorty/WebGoat",71,"Infrastructure as Code Scan","IaC issue","K8s container should not explicitly allow elevation of privileges","Medium",12/5/2023,1,1
"michaelhorty/WebGoat",71,"Infrastructure as Code Scan","IaC issue","K8s root container usage is not minimized","Medium",12/5/2023,1,1
"michaelhorty/WebGoat",71,"CI/CD Posture","Excessive permissions in workflow setting","Workflow settings should be configured with minimum required permissions","Medium",12/5/2023,1,1
"michaelhorty/WebGoat",71,"Code Security","SAST issue","Usage of Weak Random Number Generators","Medium",12/5/2023,2,1
"michaelhorty/WebGoat",71,"Code Security","SAST issue","String comparisons using '==='_ '!=='_ '!=' and '==' is vulnerable to timing attacks. More info: https://snyk.io/blog/node-js-timing-attack-ccc-ctf/","Medium",12/5/2023,2,1
"michaelhorty/WebGoat",71,"Code Security","SAST issue","SQL Injection (SQLI) vulnerability in format string query","Medium",12/5/2023,10,1
"michaelhorty/WebGoat",71,"Code Security","SAST issue","SQL Injection (SQLI) vulnerability due to manually-constructed SQL string","Medium",12/5/2023,3,1
"michaelhorty/WebGoat",71,"Code Security","SAST issue","MD5 hash algorithm used is considered insecure","Medium",12/5/2023,1,1
"michaelhorty/WebGoat",71,"Code Security","SAST issue","XMLInputFactory being instantiated without calling the setProperty functions that are generally used for disabling entity processing","Medium",12/5/2023,1,1
"michaelhorty/WebGoat",71,"CI/CD Posture","Webhook without SSL/TLS","Insecure webhook: no SSL","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"SBOM","Unused direct dependency in code","Dependency not used in code: (3 dependencies)","Medium",12/5/2023,3,1
"OX-Security-Demo/Bank-Website-Backend",69,"Git Posture","Unreviewed code change","Unreviewed code: eyalatox (kostya253@gmail.com) ","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Git Posture","Unreviewed code change","Unreviewed code: mirox13 (kostya253@gmail.com) ","Medium",12/5/2023,3,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","Secret in code","Active AWS Access Key was found in the code of a private repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","Secret in code","Generic Secret was found in the code of a private repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","Secret in code","HTTP Basic Authentication Password was found in the code of a private repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","Secret in code","HTTP Basic Authentication Password was found in the code of a private repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Code Security","SAST issue","request_without_timeout","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","PII embedded in code","Credit Card Number is exposed in code","Medium",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Git Posture","Private repo forking is enabled","Private repo can be forked","Medium",12/5/2023,0,1
"OX-Security-Demo/BankForensicsCollector",62,"Code Security","SAST issue","Passing a predicable value to srand() is very insecure and should be avoided.","Medium",12/5/2023,1,1
"OX-Security-Demo/Liquidity-management",37,"Secret/PII Scan","Secret in Git history","Generic Token was found in the history of a public repository","Medium",12/5/2023,2,1
"OX-Security-Demo/Liquidity-management",37,"Secret/PII Scan","Secret in code","MySQL Database Password was found in the code of a public repository","Medium",12/5/2023,1,1
"OX-Security-Demo/Liquidity-management",37,"Git Posture","Security Policy file missing in repo","Security Policy missing from public repo","Medium",12/5/2023,1,1
"OX-Security-Demo/Currency-Credits",35,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","openjdk@11-jre-slim is a base image defined in Dockerfile having 151 vulnerabilities. Top risk: CVE-2019-8457 (CVSS:9.8_ Buffer Overflow)","Medium",12/5/2023,151,1
